text,label,source,text_clean,tokens
"One of the best breakfast places here in the East Valley.  Excellent quality, monthly specials to die for and fantastic service.  \n\nWhen we walked in, we were told today \""""20 minute wait.\""""  Less than ten minutes later, we were at our table.  My point?  Under promise and over deliver = standard operating procedure at Crackers!",1,huggingface_baseline,"one of the best breakfast places here in the east valley. excellent quality, monthly specials to die for and fantastic service. nnwhen we walked in, we were told today 20 minute wait. less than ten minutes later, we were at our table. my point? under promise and over deliver standard operating procedure at crackers!",good breakfast place east valley excellent quality monthly special die fantastic service nnwhen walk tell today minute wait minute later table point promise deliver standard operating procedure cracker
"If you like Elitism, and rude sales people, and inflated prices this is the right place to go.....\n\nVery good selections which sucks because I won't be buying a single thing here after my experience today.\n\nAfter dropping off my Carbon Wheel to get a new tire fitted, and to be checked I bought a rear brake setup for my Volume, they had a few less expensive ones which seemed perfect for my commuter bike.\n\nAfter getting home I discovered non of the pieces fit, took proper measurements and came back to exchange for the correct pieces.  What I got instead was major attitude from several of the employees, and they stated that my bike was probably not made right and a cheap piece and that all brakes were universal......what they got was me canceling my tire, and refunding my money for the brake.\n\nI drove right up the road to Tempe bicycle (whom I loathe but also have a lot in stock) who were miraculously able to have the very pieces I was looking for to get my brake setup, for much less....\n\nSeriously this place blows donkeys and I won't be  back here ever....it sucks because their repair staff seemed nice an knowledgable.\n\nTheres better places in town try Kore, REI, or Sport Chalet....or even online, Usually when you have inflated prices the way these guys do the customer service makes up for it.....in this case it does not.\n\n\nOn a side note I am still fighting with them to get the $200 I spent there and immediatley returned it because I found the same product for $50 right down the road at Tempe Bike..... \n\nSo far they have given me several excuses as to why they haven't been able to return my money as well as given me a bogus authorization number.....shady business practices from this company buyer beware.",0,huggingface_baseline,"if you like elitism, and rude sales people, and inflated prices this is the right place to go.....nnvery good selections which sucks because i won't be buying a single thing here after my experience today.nnafter dropping off my carbon wheel to get a new tire fitted, and to be checked i bought a rear brake setup for my volume, they had a few less expensive ones which seemed perfect for my commuter bike.nnafter getting home i discovered non of the pieces fit, took proper measurements and came back to exchange for the correct pieces. what i got instead was major attitude from several of the employees, and they stated that my bike was probably not made right and a cheap piece and that all brakes were universal......what they got was me canceling my tire, and refunding my money for the brake.nni drove right up the road to tempe bicycle whom i loathe but also have a lot in stock who were miraculously able to have the very pieces i was looking for to get my brake setup, for much less....nnseriously this place blows donkeys and i won't be back here ever....it sucks because their repair staff seemed nice an knowledgable.nntheres better places in town try kore, rei, or sport chalet....or even online, usually when you have inflated prices the way these guys do the customer service makes up for it.....in this case it does not.nnnon a side note i am still fighting with them to get the 200 i spent there and immediatley returned it because i found the same product for 50 right down the road at tempe bike..... nnso far they have given me several excuses as to why they haven't been able to return my money as well as given me a bogus authorization number.....shady business practices from this company buyer beware.",like elitism rude sale people inflated price right place nnvery good selection suck will buy single thing experience drop carbon wheel new tire fit check buy rear brake setup volume expensive one perfect commuter get home discover non piece fit take proper measurement come exchange correct piece get instead major attitude employee state bike probably right cheap piece brake universal get cancel tire refund money drive right road tempe bicycle loathe lot stock miraculously able piece look brake setup nnseriously place blow donkey will suck repair staff nice well place town try kore rei sport chalet online usually inflate price way guy customer service make case note fight spend immediatley return find product right road tempe bike nnso far give excuse able return money give bogus authorization number shady business practice company buyer beware
Food was not good.  It was gross.  Every dish we ordered was disgusting.  Go someplace else.,0,huggingface_baseline,food was not good. it was gross. every dish we ordered was disgusting. go someplace else.,food good gross dish order disgusting someplace
"Food = 4 Stars\nService = 1 Star\nLocation = 3 Stars because the patio was closed and this is where we originally wanted to sit  :(\n\nI came here on a Sunday evening, It was PACKED! We had to give our IDs to the desk to get a table pager; which I found uncomfortable with. 20 minutes later, our party of 4 gets a nice booth in the back. The server was cute but seemed rushed. We gave her our cocktail order and it took about 10 minutes for her to bring them back. Most of the ice appeared melted already in my Margarita but it tasted Awesome even though the salt had all fallen off. \n\nWe placed our order for the apps and food and that was the last we saw our server for the night until paytime. The chips and Guacamole were awesome. I really enjoyed the salsa as well. My salad was rather boring, so I was going to ask the server to bring me some black beans or something to add to it, but sadly she never came back so I ate it how it was. Everyone else had mexican dishes and loved their dinners. The refried beans were really good.  \n\nI never was offered a water or cocktail refill :( I was freaking thirsty by the end of my meal!! My poor Bf tried the spicy sauce and had nothing to wash it down with by sour cream lol \n\nWe wait for what seemed like and endless time for the girl to bring the check after we had finished our meals. My bf wanted dessert, but it wasn't offered so we paid and left. \n\nI would go back... But definitely not let her wait on me.",0,huggingface_baseline,"food 4 starsnservice 1 starnlocation 3 stars because the patio was closed and this is where we originally wanted to sit nni came here on a sunday evening, it was packed! we had to give our ids to the desk to get a table pager which i found uncomfortable with. 20 minutes later, our party of 4 gets a nice booth in the back. the server was cute but seemed rushed. we gave her our cocktail order and it took about 10 minutes for her to bring them back. most of the ice appeared melted already in my margarita but it tasted awesome even though the salt had all fallen off. nnwe placed our order for the apps and food and that was the last we saw our server for the night until paytime. the chips and guacamole were awesome. i really enjoyed the salsa as well. my salad was rather boring, so i was going to ask the server to bring me some black beans or something to add to it, but sadly she never came back so i ate it how it was. everyone else had mexican dishes and loved their dinners. the refried beans were really good. nni never was offered a water or cocktail refill i was freaking thirsty by the end of my meal!! my poor bf tried the spicy sauce and had nothing to wash it down with by sour cream lol nnwe wait for what seemed like and endless time for the girl to bring the check after we had finished our meals. my bf wanted dessert, but it wasn't offered so we paid and left. nni would go back... but definitely not let her wait on me.",food starsnservice starnlocation star patio close originally want sit nni come sunday evening pack id desk table pager find uncomfortable minute later party get nice booth server cute rush give cocktail order take minute bring ice appeared melt margarita taste awesome salt fall nnwe place order app food see server night paytime chip guacamole awesome enjoy salsa salad boring go ask server bring black bean add sadly come eat mexican dish love dinner refrie bean good nni offer water cocktail refill freak thirsty end meal poor bf try spicy sauce wash sour cream lol nnwe wait like endless time girl bring check finish meal bf want dessert offer pay leave nni definitely let wait
This is probably the worst Sushi I've ever eaten In Las Vegas.\nWe ordered two chicken teriyaki's they came cold like someone had cooked them long time ago and hard like the plates.\nI order food with no shellfish; they brought it with selfish.\n\nThe service is horrific;  I was embarrassed to bring my family here.\nThe servers were mess and did not know what they were doing.\nAbsolutely sad,0,huggingface_baseline,this is probably the worst sushi i've ever eaten in las vegas.nwe ordered two chicken teriyaki's they came cold like someone had cooked them long time ago and hard like the plates.ni order food with no shellfish they brought it with selfish.nnthe service is horrific i was embarrassed to bring my family here.nthe servers were mess and did not know what they were doing.nabsolutely sad,probably bad sushi eat las order chicken teriyaki come cold like cook long time ago hard like order food shellfish bring service horrific embarrassed bring family server mess know sad
"The groomers there werent very nice to my dog, hes very sweet and well behaved. When I got my cat groomed she still had loose hairs all over her. However, there hours are great! 8 am-8 pm. It cost about $65 bucks to bathe and groom my cat. More money for my dogs.",0,huggingface_baseline,"the groomers there werent very nice to my dog, hes very sweet and well behaved. when i got my cat groomed she still had loose hairs all over her. however, there hours are great! 8 am8 pm. it cost about 65 bucks to bathe and groom my cat. more money for my dogs.",groomer not nice dog s sweet behave get cat groom loose hair hour great pm cost buck bathe groom cat money dog
"Never go here! I was denied being sold alcohol because they assumed I had been drinking because I mentioned that I had just left a club, where I had gone to line dance.  Please keep in mind it was 10:00PM on a Saturday night, they wouldn't even sell me fruit!!!!",0,huggingface_baseline,"never go here! i was denied being sold alcohol because they assumed i had been drinking because i mentioned that i had just left a club, where i had gone to line dance. please keep in mind it was 1000pm on a saturday night, they wouldn't even sell me fruit!!!!",deny sell alcohol assume drink mention leave club go line dance mind saturday night sell fruit
"I went to this location for a work lunch the restaurant was able to accommodate our large group of 40 people. The wait staff would have to be the highlight of the experience. The lay out was great for large groups and the decor was fairly modern. I would say the set up of the actual buffet was rather confusing and the food served didn't seem to be the healthiest options. Most of the food was of brown or white color, not green, orange, yellow, red-- you know-- fruits and veggie options. A wide selection of desserts to tickle your after meal fancy..",0,huggingface_baseline,"i went to this location for a work lunch the restaurant was able to accommodate our large group of 40 people. the wait staff would have to be the highlight of the experience. the lay out was great for large groups and the decor was fairly modern. i would say the set up of the actual buffet was rather confusing and the food served didn't seem to be the healthiest options. most of the food was of brown or white color, not green, orange, yellow, red you know fruits and veggie options. a wide selection of desserts to tickle your after meal fancy..",go location work lunch restaurant able accommodate large group people wait staff highlight experience lie great large group decor fairly modern set actual buffet confusing food serve healthy option food brown white color green orange yellow red know fruit veggie option wide selection dessert tickle meal fancy
"You know there's a problem when the guys are separated from the ladies for pat downs and purse inspections at the front door. Was I being arrested or is this common check in practice at this establishment? The door staff seemed to find pleasure in bossing patrons around and may be taking their hostess authority a little too far. There's nothing special beyond the threshold here either. The venue, cocktail quality and staff all tragically fail. The only glimmer of hope rests on the ghetto-tastic music that leads to contagious head boppin' & bootty shakin'.  The music was great and is the only reason why I give two stars but I don't plan on ever returning.",0,huggingface_baseline,"you know there's a problem when the guys are separated from the ladies for pat downs and purse inspections at the front door. was i being arrested or is this common check in practice at this establishment? the door staff seemed to find pleasure in bossing patrons around and may be taking their hostess authority a little too far. there's nothing special beyond the threshold here either. the venue, cocktail quality and staff all tragically fail. the only glimmer of hope rests on the ghettotastic music that leads to contagious head boppin' bootty shakin'. the music was great and is the only reason why i give two stars but i don't plan on ever returning.",know problem guy separate lady pat down purse inspection door arrest common check practice establishment door staff find pleasure boss patron take hostess authority little far special threshold venue cocktail quality staff tragically fail glimmer hope rest ghettotastic music lead contagious head boppin bootty shakin music great reason star plan return
They are growing on me. My favorite Cheese steak place is Philadelphia Sandwich company in Old town. But Corleones just opened here and it's close AND they deliver. Been twice and food was good. And they do their fries well done. Unlike 5 Guys right around the corner in the same parking lot. Plus Corleones has an old Philly favorite- Tastykakes! YAY!!,1,huggingface_baseline,they are growing on me. my favorite cheese steak place is philadelphia sandwich company in old town. but corleones just opened here and it's close and they deliver. been twice and food was good. and they do their fries well done. unlike 5 guys right around the corner in the same parking lot. plus corleones has an old philly favorite tastykakes! yay!!,grow favorite cheese steak place philadelphia sandwich company old town corleone open close deliver twice food good fry unlike guy right corner parking lot plus corleone old philly favorite tastykake yay
"Even though the dishes average $10- they are big portions.  Great for sharing.. Pho for $10?? pretty expensive right? But you don't have to leave the hotel if you are staying here, so that is the convenience... the yellow noodles were just okay, i liked the pho a lot better, and I was very surprise they are very generous with their portions, so generous that the 2nd time we went back, we had to request for less noodles and more broth.. the noodle soups here are loaded with lots of noodles, lots of meat and beef balls which is great since you get a lot for what you pay for.  I would definitely recommend sharing because they are big portions..Only thing I didn't like was the crappy bowl that it came in...It was too flimsy and hard to eat...Definitely a great spot to come to cure hangovers if you are staying at the Rio..",1,huggingface_baseline,"even though the dishes average 10 they are big portions. great for sharing.. pho for 10?? pretty expensive right? but you don't have to leave the hotel if you are staying here, so that is the convenience... the yellow noodles were just okay, i liked the pho a lot better, and i was very surprise they are very generous with their portions, so generous that the 2nd time we went back, we had to request for less noodles and more broth.. the noodle soups here are loaded with lots of noodles, lots of meat and beef balls which is great since you get a lot for what you pay for. i would definitely recommend sharing because they are big portions..only thing i didn't like was the crappy bowl that it came in...it was too flimsy and hard to eat...definitely a great spot to come to cure hangovers if you are staying at the rio..",dish average big portion great share pho pretty expensive right leave hotel stay convenience yellow noodle okay like pho lot well surprise generous portion generous time go request noodle broth noodle soup load lot noodle lot meat beef ball great lot pay definitely recommend sharing big portion thing like crappy bowl come flimsy hard eat definitely great spot come cure hangover stay rio
Dead Roach on the Bamboo on my steam dumpling basket. I got up and left. This is the only time i've gotten up and left besides an hour wait at Denny's.  F'ing gross!!,0,huggingface_baseline,dead roach on the bamboo on my steam dumpling basket. i got up and left. this is the only time i've gotten up and left besides an hour wait at denny's. f'ing gross!!,dead roach bamboo steam dumple basket get leave time get leave hour wait denny gross
Its ok. I just expected better. food was microwaved and flavorless.,0,huggingface_baseline,its ok. i just expected better. food was microwaved and flavorless.,ok expect well food microwave flavorless
I would recommend Apex. Ron took the time to explain my options and I am happy with their work. My Chrysler 300 looks great!,1,huggingface_baseline,i would recommend apex. ron took the time to explain my options and i am happy with their work. my chrysler 300 looks great!,recommend apex ron take time explain option happy work chrysler look great
Unprofessional manager & general manager. Would not let me return cracked smart TV.  Writing a letter to corp office about store.  Mooresville store DID let me return faulty device. Props to Mooresville,0,huggingface_baseline,unprofessional manager general manager. would not let me return cracked smart tv. writing a letter to corp office about store. mooresville store did let me return faulty device. props to mooresville,unprofessional manager general manager let return crack smart tv write letter corp office store mooresville store let return faulty device prop mooresville
"This is very hard for me to say but... Lavo Day party might be my most favorite thing to do in Vegas.  I have done ALL the pool parties, night clubs, ect.  Everything is great but Lavo day party is amazing.  Table service here is great and they are very attentive.  Starts off as a brunch and the food is pretty good.  The prices are all VERY reasonable for Vegas standards and bottle prices are the best in Vegas.  Beautiful crowd here and the party gets pretty wild after an hour or so.  When they drop the curtains you know its about to go down!  Music here is great and the atmosphere is one of my favorites in Vegas. Def a MUST go and good luck getting in!!!",1,huggingface_baseline,"this is very hard for me to say but... lavo day party might be my most favorite thing to do in vegas. i have done all the pool parties, night clubs, ect. everything is great but lavo day party is amazing. table service here is great and they are very attentive. starts off as a brunch and the food is pretty good. the prices are all very reasonable for vegas standards and bottle prices are the best in vegas. beautiful crowd here and the party gets pretty wild after an hour or so. when they drop the curtains you know its about to go down! music here is great and the atmosphere is one of my favorites in vegas. def a must go and good luck getting in!!!",hard lavo day party favorite thing vegas pool party night club ect great lavo day party amazing table service great attentive start brunch food pretty good price reasonable vegas standard bottle price good vegas beautiful crowd party get pretty wild hour drop curtain know music great atmosphere favorite vegas def good luck get
"It was ok. Not worth the hype or the ticket price. Great music. Very talented musicians and overall artists but the content of the show was a bit void of substance. It began to touch on the surface of some interesting ideas but it didn't really follow any of them through making it a bit of a bore. A lot of time wasted with audience participation and walking through the crowd several times throughout the 1.5hr show to pick people out. I get that they are trying to make a commentary on society but it's extremely watered down to the point where it's practically empty of any meaning. Music and special effects was the best part about it, as well as the gimmicky quick thrills used throughout to keep the audience's attention in what was an otherwise boring and uneventful show. \n\nI wonder if the NY version is the same or if this one is specifically dummed down for the people that frequent Vegas vs. the cultured NY theater goers. This same show in NY, Chicago, London or LA would be a joke. I yawned a few times. I get what they were trying to do but they didn't take it all  the way. Fail. A good time, but not worth $75-$200 per ticket.",0,huggingface_baseline,"it was ok. not worth the hype or the ticket price. great music. very talented musicians and overall artists but the content of the show was a bit void of substance. it began to touch on the surface of some interesting ideas but it didn't really follow any of them through making it a bit of a bore. a lot of time wasted with audience participation and walking through the crowd several times throughout the 1.5hr show to pick people out. i get that they are trying to make a commentary on society but it's extremely watered down to the point where it's practically empty of any meaning. music and special effects was the best part about it, as well as the gimmicky quick thrills used throughout to keep the audience's attention in what was an otherwise boring and uneventful show. nni wonder if the ny version is the same or if this one is specifically dummed down for the people that frequent vegas vs. the cultured ny theater goers. this same show in ny, chicago, london or la would be a joke. i yawned a few times. i get what they were trying to do but they didn't take it all the way. fail. a good time, but not worth 75200 per ticket.",ok worth hype ticket price great music talented musician overall artist content bit void substance begin touch surface interesting idea follow make bit bore lot time waste audience participation walk crowd time pick people try commentary society extremely water point practically meaning music special effect good gimmicky quick thrill audience attention boring uneventful nni wonder ny version specifically dumme people frequent vegas cultured ny theater goer ny chicago london la joke yawn time try way fail good time worth ticket
"The food could have been served hotter, the gyro meat could have been moister and more flavorful, the staff could have been a lot more knowledgeable and friendly, and the soda machine could use more carbonation. Too many other Greek food options in town for me to ever consider returning.",0,huggingface_baseline,"the food could have been served hotter, the gyro meat could have been moister and more flavorful, the staff could have been a lot more knowledgeable and friendly, and the soda machine could use more carbonation. too many other greek food options in town for me to ever consider returning.",food serve hotter gyro meat moister flavorful staff lot knowledgeable friendly soda machine use carbonation greek food option town consider return
