label,entity_norm,count
DATE,"a year and a half later, dec. 20, 2010",1
DATE,about 10 years,1
DATE,about 2 months ago,1
DATE,about 3 years,1
DATE,about 36 years,1
DATE,about 4 months ago,1
DATE,about 5 months,1
DATE,about 7-8 years,1
DATE,about 9 months ago,1
DATE,about a quarter,1
DATE,about a week ago,1
DATE,about a year,1
DATE,all these years,1
DATE,all weekend,1
DATE,almost 1 week,1
DATE,almost 1 year ago,1
DATE,almost 15 years,1
DATE,almost a week,1
DATE,almost a year,1
DATE,almost every week,1
DATE,almost ten years,1
DATE,an additional five days,1
DATE,an email a week later,1
DATE,an exhausting weekend,1
DATE,an off day,1
DATE,annual,1
DATE,another 2 days,1
DATE,another 25 years,1
DATE,another 6 years,1
DATE,any day of the week,1
DATE,anyday,1
DATE,april,1
DATE,april of this year,1
DATE,around 1215,1
DATE,around 1975,1
DATE,around 1978,1
DATE,around 6 years,1
DATE,as many weeks,1
DATE,at least 4 weeks,1
DATE,at least a year,1
DATE,at least ten years,1
DATE,at least the day,1
DATE,at least the last 10 years,1
DATE,august 6th,1
DATE,august of 2011,1
DATE,bargains.\n\ntoday,1
DATE,better days,1
DATE,between seasons,1
DATE,channels.\n\nour,1
DATE,christmas day,1
DATE,corner.\n\nzzeek,1
DATE,cream-i'll,1
DATE,day - sea bass,1
DATE,day 1,1
DATE,day one,1
DATE,dec,1
DATE,dec 15th,1
DATE,december,1
DATE,december of 2008,1
DATE,delish.\n\nso,1
DATE,earlier flights same day,1
DATE,earlier this year,1
DATE,early 20s,1
DATE,early 90s,1
DATE,edc weekend,1
DATE,eight years ago,1
DATE,every day,1
DATE,every five years,1
DATE,every month,1
DATE,every weekend,1
DATE,every year,1
DATE,everyday,1
DATE,fall / spring,1
DATE,"february 14, 2014",1
DATE,february 2014.\n\nwe,1
DATE,february of this year,1
DATE,five year old,1
DATE,five-year old,1
DATE,four year old,1
DATE,four-year-old.\n\ndamn,1
DATE,frapp\u00e9 year round,1
DATE,friday 7-11,1
DATE,friday night april 11,1
DATE,friday/saturday nights,1
DATE,fridays,1
DATE,funday,1
DATE,half a day,1
DATE,half-century,1
DATE,halloween weekend,1
DATE,his day,1
DATE,holiday weeks,1
DATE,january of this year,1
DATE,jj,1
DATE,july 1st,1
DATE,july 2,1
DATE,july 2013,1
DATE,july 3rd,1
DATE,june,1
DATE,"june 27, 2011",1
DATE,"june 9, 2009 & lin's",1
DATE,june of 2012,1
DATE,just bad nights,1
DATE,just over a week,1
DATE,know.\n\nlater that day,1
DATE,last august,1
DATE,last day,1
DATE,last saturday,1
DATE,last weekend,1
DATE,late 40s,1
DATE,late december 2012,1
DATE,late february,1
DATE,late friday,1
DATE,late november 2011,1
DATE,later in the day,1
DATE,like 6 years,1
DATE,living many years,1
DATE,lunch.\n\nthe 2nd,1
DATE,"many, many months",1
DATE,march,1
DATE,"may 2, 2014",1
DATE,may 2008,1
DATE,memorial day,1
DATE,mid 30ish,1
DATE,mid-age,1
DATE,mid-september,1
DATE,mid-week,1
DATE,month,1
DATE,more than a month ago,1
DATE,most nights,1
DATE,my 1st,1
DATE,my past weekend,1
DATE,my weekend,1
DATE,nasty day,1
DATE,nearly every day,1
DATE,nearly one month,1
DATE,next december,1
DATE,next friday,1
DATE,next summer,1
DATE,next time\ni,1
DATE,next week,1
DATE,nice day,1
DATE,november 2010,1
DATE,ok years ago,1
DATE,one day of day,1
DATE,one expensive weekend,1
DATE,one-day,1
DATE,only 4 days,1
DATE,only five days earlier,1
DATE,opening weekend,1
DATE,our 3rd year anniversary,1
DATE,our 4 year old,1
DATE,over 15 years,1
DATE,over 20 years,1
DATE,over 40 years,1
DATE,over a year,1
DATE,over a year ago,1
DATE,previous day's,1
DATE,recent years,1
DATE,roughly a year,1
DATE,same day,1
DATE,season,1
DATE,seasonal,1
DATE,seasonally,1
DATE,sept  and,1
DATE,sept. 4th,1
DATE,seven days,1
DATE,several months,1
DATE,several months later,1
DATE,several years ago,1
DATE,some days,1
DATE,spring,1
DATE,"sunday august 26th, 2012",1
DATE,ten years ago,1
DATE,thanksgiving,1
DATE,that weekend,1
DATE,the 10 months,1
DATE,the 12th,1
DATE,the 25th,1
DATE,the 26th of july,1
DATE,the 28 day,1
DATE,the 2nd,1
DATE,the 4 days,1
DATE,the 4 years,1
DATE,the b-day,1
DATE,the cool summer,1
DATE,the day before,1
DATE,the early 21st century,1
DATE,the early days,1
DATE,the end of 2008,1
DATE,the end of august,1
DATE,the end of the evening,1
DATE,the fall 2014 semester,1
DATE,the few sunny days,1
DATE,the first month,1
DATE,the first month or,1
DATE,the half/half,1
DATE,the last 12 years,1
DATE,the last 15 years,1
DATE,the last 2 months,1
DATE,the last 3 nights,1
DATE,the last couple of years,1
DATE,the last couple years,1
DATE,the last few years,1
DATE,the last row,1
DATE,the last ten years,1
DATE,the last three years,1
DATE,the last thursday of the month,1
DATE,the last week,1
DATE,the middle of,1
DATE,the middle of the summer,1
DATE,the new years eve,1
DATE,the next day &,1
DATE,the next three days,1
DATE,the past 10 years,1
DATE,the past 20 years,1
DATE,the past 4 weeks,1
DATE,the past 4 years,1
DATE,the past 6 weeks,1
DATE,the past five years,1
DATE,the past month,1
DATE,the past year,1
DATE,the previous day,1
DATE,the public,1
DATE,the same 21 year old,1
DATE,the second day,1
DATE,the spring,1
DATE,the spring/summer,1
DATE,the weekdays,1
DATE,the weekend nights,1
DATE,the weekends,1
DATE,the whole weekend,1
DATE,the winter and,1
DATE,their best days,1
DATE,then-15-year-old,1
DATE,there.\n\nbetween may and september,1
DATE,these past 2 months,1
DATE,this a month later,1
DATE,this day,1
DATE,this donut,1
DATE,this last tuesday,1
DATE,this last weekend,1
DATE,this past march,1
DATE,this past spring,1
DATE,this past summer,1
DATE,this past week,1
DATE,this quarter,1
DATE,this winter,1
DATE,three nights,1
DATE,three weeks,1
DATE,three years,1
DATE,three years ago,1
DATE,thursdays,1
DATE,"today, august 3, 2013",1
DATE,two and a half,1
DATE,two and one,1
DATE,two days,1
DATE,two days ago,1
DATE,two months,1
DATE,two months later,1
DATE,two nights,1
DATE,two weeks ago,1
DATE,under 10,1
DATE,under 30,1
DATE,vacation a few weeks ago,1
DATE,valentines day,1
DATE,walgreen,1
DATE,wednesday nights,1
DATE,wednesdays daytime,1
DATE,weekdays,1
DATE,weekend nights,1
DATE,weeks ago,1
DATE,winter,1
DATE,winter erledigt,1
DATE,winter nights,1
DATE,yummy!\n\nsunday,1
GPE,vegas,103
GPE,las vegas,49
GPE,phoenix,31
GPE,chicago,29
GPE,charlotte,25
GPE,arizona,17
GPE,california,17
GPE,pittsburgh,14
GPE,scottsdale,14
GPE,montreal,13
GPE,aria,10
GPE,ny,9
GPE,la,8
GPE,los angeles,8
GPE,paris,8
GPE,texas,8
GPE,us,8
GPE,edinburgh,7
GPE,lv,7
GPE,new york,7
GPE,henderson,6
GPE,tempe,6
GPE,fremont,5
GPE,houston,5
GPE,utah,5
GPE,vdara,5
GPE,yelp,5
GPE,china,4
GPE,egg,4
GPE,encore,4
GPE,illinois,4
GPE,luxor,4
GPE,nice,4
GPE,portland,4
GPE,san diego,4
GPE,uptown,4
GPE,wynn,4
GPE,alfredo,3
GPE,america,3
GPE,boston,3
GPE,decatur,3
GPE,gras,3
GPE,hawaii,3
GPE,mexico,3
GPE,monta,3
GPE,new york city,3
GPE,oakland,3
GPE,samosas,3
GPE,sora,3
GPE,vancouver,3
GPE,vienna,3
GPE,\n\nthen,2
GPE,ahwatukee,2
GPE,az,2
GPE,bacon,2
GPE,bathrooms,2
GPE,chop,2
GPE,cosmopolitan,2
GPE,d.c.,2
GPE,del frisco's,2
GPE,e.r.,2
GPE,enjoy,2
GPE,er,2
GPE,france,2
GPE,garden,2
GPE,go,2
GPE,hilton,2
GPE,hong kong,2
GPE,houston person,2
GPE,iberico,2
GPE,india,2
GPE,karlsruhe,2
GPE,kinda,2
GPE,kleingeld,2
GPE,london,2
GPE,louisiana,2
GPE,madison,2
GPE,manila,2
GPE,maryland,2
GPE,masala,2
GPE,mmmm,2
GPE,nacho,2
GPE,namaste,2
GPE,nc,2
GPE,ne,2
GPE,nevada,2
GPE,north carolina,2
GPE,oreo,2
GPE,rocky,2
GPE,salsa,2
GPE,san francisco,2
GPE,seattle,2
GPE,spicy,2
GPE,sunset,2
GPE,taco,2
GPE,tatiana,2
GPE,tokyo,2
GPE,turkey,2
GPE,tyler,2
GPE,valpak,2
GPE,vet,2
GPE,whopper,2
GPE,wisconsin,2
GPE,@thegoodwich,1
GPE,"\""""cool",1
GPE,"\""""cotton",1
GPE,"\""""d\",1
GPE,"\""""go",1
GPE,"\""""guns",1
GPE,"\""""tanaka",1
GPE,"\""""ted",1
GPE,\n\nbrandon,1
GPE,\n\nguac,1
GPE,\n\nshe,1
GPE,\noverall,1
GPE,\u00fcbersichtlich,1
GPE,aaahhh,1
GPE,abbondante,1
GPE,airport,1
GPE,alaska,1
GPE,albany,1
GPE,alrighty,1
GPE,amapalya,1
GPE,angelic,1
GPE,ann arbor,1
GPE,anyway,1
GPE,apex,1
GPE,aspen,1
GPE,aureole,1
GPE,avocado,1
GPE,awww,1
GPE,azteca,1
GPE,b.o,1
GPE,ballantyne,1
GPE,banfield,1
GPE,bangkok,1
GPE,barros,1
GPE,baymont,1
GPE,beautful,1
GPE,beijing,1
GPE,bellagio,1
GPE,berkeley,1
GPE,berlin,1
GPE,bertolucci,1
GPE,bestelle,1
GPE,beverly hills.\n\nthe,1
GPE,bien situ\u00e9,1
GPE,big bold,1
GPE,big joe's,1
GPE,big mistake,1
GPE,big wong,1
GPE,binon,1
GPE,blaise,1
GPE,blaise lantana,1
GPE,bobbie,1
GPE,boca park,1
GPE,bosa,1
GPE,bouillabaisse,1
GPE,boulder,1
GPE,boxty,1
GPE,bricktops,1
GPE,brighton,1
GPE,brio,1
GPE,brisket,1
GPE,brochelle,1
GPE,bueno,1
GPE,business.\n\nlesson,1
GPE,cali,1
GPE,carolina,1
GPE,chad,1
GPE,chefs,1
GPE,chernobyl,1
GPE,chicagoland,1
GPE,chimichanga,1
GPE,china city,1
GPE,clerk.\n\nwhen,1
GPE,cocos,1
GPE,colombia,1
GPE,colorado,1
GPE,coney island,1
GPE,connecticut,1
GPE,cooled.\n\nmy,1
GPE,culantro,1
GPE,daf\u00fcr,1
GPE,dc,1
GPE,decent.\n\ncustomer,1
GPE,denver,1
GPE,detroit,1
GPE,disappointing,1
GPE,dresden,1
GPE,drive,1
GPE,driving,1
GPE,dublin,1
GPE,east mesa,1
GPE,ef,1
GPE,el segundo,1
GPE,elliott,1
GPE,embassy,1
GPE,emeril,1
GPE,enjoy.\n\nand,1
GPE,enormi,1
GPE,excellent.\n\ni'd,1
GPE,extra\,1
GPE,feburary,1
GPE,fedex,1
GPE,filibertos,1
GPE,fort mill,1
GPE,fountain hills,1
GPE,full.\n\ncarlito,1
GPE,fun.\nwhen,1
GPE,gainesville,1
GPE,galleria,1
GPE,glendale,1
GPE,glockmeister,1
GPE,good!\n\nmango,1
GPE,good.\n\nquickee,1
GPE,guadalajara,1
GPE,gumby,1
GPE,had.\n\nmy,1
GPE,hainan,1
GPE,hardrock,1
GPE,harrah,1
GPE,hawthorne,1
GPE,hells kitchen,1
GPE,hennessey,1
GPE,herbs.\n\ngot,1
GPE,here.\n\nwe,1
GPE,hillstone,1
GPE,holes,1
GPE,hollywood,1
GPE,hooters,1
GPE,hungary,1
GPE,hunh?\n\nanyway,1
GPE,huntersville,1
GPE,hurley,1
GPE,husband,1
GPE,i.v.,1
GPE,italy,1
GPE,iu,1
GPE,j.d,1
GPE,janesville,1
GPE,japan,1
GPE,jungle buffet,1
GPE,klein,1
GPE,kommentar,1
GPE,kuala lampur,1
GPE,kumamotos,1
GPE,kunden,1
GPE,kunden zu \u00e4rgern,1
GPE,kyoto,1
GPE,l.a.,1
GPE,la quinta,1
GPE,lala,1
GPE,langos,1
GPE,las,1
GPE,las vegas - period,1
GPE,las vegas boulevard,1
GPE,las vegas police,1
GPE,las vegas.\n\nbut,1
GPE,las vegas.\n\nfirst,1
GPE,las vegas.\nwe,1
GPE,lawrenceville,1
GPE,lawry,1
GPE,le village,1
GPE,lh,1
GPE,linhs,1
GPE,long beach,1
GPE,long island,1
GPE,los favoritos,1
GPE,los lobos,1
GPE,los sombreros,1
GPE,lotta,1
GPE,louis,1
GPE,ma,1
GPE,macademia,1
GPE,macau,1
GPE,manhattan,1
GPE,manna,1
GPE,marchmont,1
GPE,margaritaville,1
GPE,maryvale,1
GPE,massachusetts,1
GPE,me)\n\n,1
GPE,meth,1
GPE,miami,1
GPE,minnesota,1
GPE,mirliton,1
GPE,mm,1
GPE,mohomado,1
GPE,monona,1
GPE,mounds,1
GPE,myers park,1
GPE,naan,1
GPE,nachbarin,1
GPE,nada,1
GPE,nadia,1
GPE,nala,1
GPE,nashville,1
GPE,nebraska,1
GPE,neopolitan,1
GPE,new orleans,1
GPE,new york-new york,1
GPE,newcastle,1
GPE,night.\n\nwe,1
GPE,nigiri,1
GPE,nile cafe,1
GPE,norcal,1
GPE,nordstroms,1
GPE,north beach(san fran's,1
GPE,north las vegas,1
GPE,north versailles,1
GPE,o'sheas,1
GPE,o.g.,1
GPE,oakley,1
GPE,oh,1
GPE,okada sushi,1
GPE,old vegas,1
GPE,olivia,1
GPE,optomap.,1
GPE,orange,1
GPE,orange cafe,1
GPE,orange chicken,1
GPE,orange county,1
GPE,orlando,1
GPE,osaka,1
GPE,"otto, las vegas",1
GPE,p.s.-,1
GPE,panang,1
GPE,pancho,1
GPE,pancho villas,1
GPE,panera,1
GPE,park rd,1
GPE,pay\u00e9,1
GPE,pelle,1
GPE,pepto,1
GPE,philadelphia,1
GPE,phnom penh,1
GPE,"pizza\""""\n\n\n\""""ya",1
GPE,place.\n\nlas vegas,1
GPE,portofino,1
GPE,postrio,1
GPE,pov,1
GPE,procuitto-,1
GPE,pv,1
GPE,qc,1
GPE,quebec,1
GPE,quinta,1
GPE,ramen,1
GPE,rampart,1
GPE,rangoon,1
GPE,red rock,1
GPE,ribeye,1
GPE,ripoff city,1
GPE,risk.\n\nit,1
GPE,robitussin,1
GPE,rome,1
GPE,route.\n\nmanna,1
GPE,rude.\n\nand,1
GPE,s.c.,1
GPE,saguaro,1
GPE,sambalatte,1
GPE,san jose,1
GPE,san tan,1
GPE,san tan valley,1
GPE,sandra,1
GPE,sandwich,1
GPE,sangria,1
GPE,santa,1
GPE,santa monica.\n\n(mediterranean bass,1
GPE,sao reno,1
GPE,sashimi,1
GPE,scold,1
GPE,scotts airport,1
GPE,seville,1
GPE,sf,1
GPE,shanghai,1
GPE,sheetz,1
GPE,shiloh,1
GPE,sin city,1
GPE,singapore,1
GPE,snaps,1
GPE,south carolina,1
GPE,south park,1
GPE,southern hills,1
GPE,spain,1
GPE,spencers,1
GPE,sprinkles,1
GPE,steer,1
GPE,stratta,1
GPE,strip,1
GPE,sugar,1
GPE,sukey,1
GPE,sun.\n\nwe,1
GPE,sw,1
GPE,taiwan,1
GPE,tandoori village,1
GPE,tartufo,1
GPE,tehran,1
GPE,textures.\n\nmy,1
GPE,the county shelter,1
GPE,the las vegas strip,1
GPE,the maricopa county shelter,1
GPE,the usual vegas,1
GPE,thyme,1
GPE,tibetan,1
GPE,toronto,1
GPE,totally,1
GPE,treasure island,1
GPE,trotzdem,1
GPE,tucson,1
GPE,u.s.,1
GPE,u.s.\n\nfor,1
GPE,uptown charlotte,1
GPE,usually zuke,1
GPE,vegas strip,1
GPE,vegas valley,1
GPE,vegas!\,1
GPE,vermont,1
GPE,vicino,1
GPE,vietnam,1
GPE,vw,1
GPE,want.\n\nnow,1
GPE,washington,1
GPE,weekends,1
GPE,wellington,1
GPE,work!\n\nand,1
GPE,wyndham,1
GPE,yelping,1
GPE,yen,1
GPE,yoshida,1
GPE,zeppoli,1
GPE,zero,1
GPE,zerona,1
GPE,zilch,1
LOC,strip,21
LOC,nyc,12
LOC,mandalay bay,9
LOC,vegas,7
LOC,valley,5
LOC,breakfast,4
LOC,north,4
LOC,old town,4
LOC,lake brome,3
LOC,pecos,3
LOC,sahara,3
LOC,south,3
LOC,the east coast,3
LOC,west,3
LOC,europe,2
LOC,gold circle,2
LOC,highland tavern,2
LOC,long island,2
LOC,mango,2
LOC,mediterranean,2
LOC,old montreal,2
LOC,the east valley,2
LOC,the gulf of mexico,2
LOC,the mahi mahi,2
LOC,the mandalay bay,2
LOC,the north atlantic,2
LOC,wifey,2
LOC,32nd st,1
LOC,another pita jungle,1
LOC,asia,1
LOC,az!\n\nps,1
LOC,barros,1
LOC,be.\ni,1
LOC,beef.\n\nmy,1
LOC,branzino,1
LOC,cajun,1
LOC,caribbean,1
LOC,carolina,1
LOC,central phoenix,1
LOC,chef ramsay's,1
LOC,ckicken teppanyaki,1
LOC,coliseum,1
LOC,death valley,1
LOC,east,1
LOC,east coast,1
LOC,east fremont,1
LOC,egg,1
LOC,ellis island,1
LOC,gold coast,1
LOC,green curry,1
LOC,happy valley,1
LOC,heaven.\n\nfor,1
LOC,honey moon sweets,1
LOC,island,1
LOC,kore,1
LOC,korean garden bbq,1
LOC,lake,1
LOC,lake wylie,1
LOC,lone mountain,1
LOC,maricopa,1
LOC,mojo,1
LOC,my long island,1
LOC,north america,1
LOC,north phoenix,1
LOC,north scottsdale,1
LOC,northeast phoenix,1
LOC,old italy,1
LOC,paradise valley mall,1
LOC,pearl,1
LOC,pici,1
LOC,point brugge,1
LOC,red chili oil,1
LOC,river island,1
LOC,samwoo,1
LOC,sf bay,1
LOC,shame::\nate,1
LOC,spring mountain,1
LOC,stratosphere,1
LOC,sun,1
LOC,talking stick resort,1
LOC,the chicken mount etna,1
LOC,the garden of eden,1
LOC,the lazy river,1
LOC,the massage heights,1
LOC,the north end,1
LOC,the north side,1
LOC,the park central mall,1
LOC,the river island,1
LOC,the san francisco bay area's,1
LOC,the sg valley,1
LOC,the south side,1
LOC,the toyko bay,1
LOC,the w coast,1
LOC,the west coast,1
LOC,the wicked spoon,1
LOC,treasure island,1
LOC,west coast,1
LOC,wicked spoon,1
MONEY,10,34
MONEY,5,19
MONEY,1,18
MONEY,20,17
MONEY,100,16
MONEY,3,15
MONEY,15,14
MONEY,25,14
MONEY,12,13
MONEY,2,12
MONEY,30,12
MONEY,50,10
MONEY,60,9
MONEY,11,8
MONEY,2.50,8
MONEY,35,8
MONEY,40,8
MONEY,4,6
MONEY,6,6
MONEY,$$$,5
MONEY,14,5
MONEY,200,5
MONEY,21,5
MONEY,24,5
MONEY,7,5
MONEY,7.50,5
MONEY,8,5
MONEY,9,5
MONEY,$,4
MONEY,1.99,4
MONEY,13,4
MONEY,3.50,4
MONEY,5.00,4
MONEY,500,4
MONEY,6.99,4
MONEY,7.99,4
MONEY,70,4
MONEY,1.50,3
MONEY,11.50,3
MONEY,17,3
MONEY,18,3
MONEY,20.00,3
MONEY,32,3
MONEY,5.50,3
MONEY,599,3
MONEY,600,3
MONEY,over $100,3
MONEY,thousands of dollars,3
MONEY,$8,2
MONEY,1.90,2
MONEY,105,2
MONEY,12 dollars,2
MONEY,14.53,2
MONEY,15 bucks,2
MONEY,15 cents,2
MONEY,150,2
MONEY,3.95,2
MONEY,300,2
MONEY,360,2
MONEY,38,2
MONEY,4.50,2
MONEY,400,2
MONEY,49,2
MONEY,5.99,2
MONEY,50 bucks,2
MONEY,6.00,2
MONEY,6.50,2
MONEY,7.95,2
MONEY,70.00,2
MONEY,8.00,2
MONEY,875,2
MONEY,88,2
MONEY,9.00,2
MONEY,9.50,2
MONEY,about $5,2
MONEY,around $200,2
MONEY,"over $1,000",2
MONEY,over $300,2
MONEY,$$$$,1
MONEY,$0.64\ndelivery $,1
MONEY,$10.89/$9.80 sr,1
MONEY,$12,1
MONEY,$179/night,1
MONEY,$2 bucks,1
MONEY,$20 groupon,1
MONEY,$25.00 bucks,1
MONEY,$2k,1
MONEY,$40 million,1
MONEY,$5,1
MONEY,$60 bucks,1
MONEY,$7 to $10,1
MONEY,$7-8,1
MONEY,"1,000",1
MONEY,"1,200",1
MONEY,1.00,1
MONEY,1.75ea,1
MONEY,1.89,1
MONEY,"10,000",1
MONEY,10-,1
MONEY,10-$15,1
MONEY,10-$16,1
MONEY,10.99,1
MONEY,100.00,1
MONEY,107,1
MONEY,11 bucks,1
MONEY,11.00,1
MONEY,11.09\n\nso,1
MONEY,11.99,1
MONEY,110,1
MONEY,1181,1
MONEY,120,1
MONEY,125,1
MONEY,13.99,1
MONEY,130,1
MONEY,14.00,1
MONEY,14.50,1
MONEY,14.95,1
MONEY,144,1
MONEY,145,1
MONEY,15 $,1
MONEY,15 dollars,1
MONEY,16,1
MONEY,16.95,1
MONEY,16.99,1
MONEY,160,1
MONEY,165!\n\nmy,1
MONEY,1700,1
MONEY,2-$4,1
MONEY,2.00,1
MONEY,2.95,1
MONEY,2.99,1
MONEY,20 dollars,1
MONEY,20$,1
MONEY,200-300 bucks,1
MONEY,200.00,1
MONEY,22,1
MONEY,22.00,1
MONEY,24 hour,1
MONEY,24.99,1
MONEY,25 $,1
MONEY,25.99,1
MONEY,280.00,1
MONEY,29.95,1
MONEY,3 dollars,1
MONEY,3.29,1
MONEY,30 bucks,1
MONEY,30 cents,1
MONEY,30.00,1
MONEY,35 $,1
MONEY,35 dollar,1
MONEY,35-45 bucks,1
MONEY,39.52,1
MONEY,39.99+tax).\n\nits,1
MONEY,4 dollars,1
MONEY,4$ tasty,1
MONEY,4.00,1
MONEY,4.69,1
MONEY,4.99,1
MONEY,40 cents,1
MONEY,40-$65,1
MONEY,42,1
MONEY,42 dollars,1
MONEY,42.00,1
MONEY,4322\,1
MONEY,44,1
MONEY,441,1
MONEY,45 dollars,1
MONEY,47,1
MONEY,5 bucks,1
MONEY,5 dollar,1
MONEY,5 dollars,1
MONEY,5$,1
MONEY,5.75,1
MONEY,5.95,1
MONEY,50 cents,1
MONEY,50 dollar,1
MONEY,50 dollars,1
MONEY,53,1
MONEY,55,1
MONEY,59,1
MONEY,59.00,1
MONEY,6 bucks,1
