Phase,Task,Prompt (paraphrased),AI Output,Human Verification,Status,Fix Applied,Status_clean
3,TF-IDF + Classical ML Setup,"Set up TF-IDF with Naive Bayes, Logistic Regression, and Random Forest classifiers",Basic TfidfVectorizer(max_features=5000) + 3 models with default params,"Worked correctly — added ngram_range=(1,2) and max_features=10000 for richer features",⚠️ Pass w/ Edit,"Tuned TF-IDF: ngram_range=(1,2), max_features=10000, min_df=2",Pass w/ Edit
3,Word2Vec Training,Train Word2Vec on training corpus for restaurant reviews,"Word2Vec with CBOW (sg=0), vector_size=100, window=5",Skip-gram (sg=1) performs better for domain-specific infrequent words,⚠️ Pass w/ Edit,"Changed to sg=1 (Skip-gram), kept vector_size=100, min_count=2",Pass w/ Edit
3,LSTM Architecture,Build LSTM model for sentiment classification using Word2Vec embeddings,Simple unidirectional LSTM(64) + Dense,Bidirectional LSTM captures both forward and backward context better,⚠️ Pass w/ Edit,"Changed to Bidirectional(LSTM(64)) + Dropout(0.3) + Dense(1, sigmoid)",Pass w/ Edit
3,LSTM Overfitting,Train LSTM for 20 epochs on sentiment data,"model.fit() with epochs=20, no callbacks",val_loss increased after epoch 5-6 — clear overfitting,❌ Fail → Fixed,"Added EarlyStopping(monitor='val_loss', patience=3, restore_best_weights=True)",Fail → Fixed
3,Embedding Matrix Construction,Initialize Keras Embedding layer with Word2Vec pretrained weights,Loop over vocab and assign w2v vectors to embedding_matrix,OOV words initialized to zeros — verified acceptable behavior,✅ Pass,—,Pass
3,Model Evaluation Helper,Write function to evaluate classifier and return metrics dict,"evaluate_model() returning accuracy, precision, recall, F1, ROC-AUC","All metrics computed correctly, verified against sklearn manual calls",✅ Pass,—,Pass
4,Full Evaluation Dashboard,Create comprehensive evaluation comparing all models with per-class metrics,Single summary table with macro averages only,Missing per-class breakdown — important for imbalanced data,⚠️ Pass w/ Edit,Extended to show Precision/Recall/F1 separately for Positive and Negative classes,Pass w/ Edit
4,Learning Curve,Plot learning curve to detect overfitting for classical models,sklearn learning_curve() with 5 train sizes,Too few points — curve too coarse to read trend,⚠️ Pass w/ Edit,"Increased to 8 train sizes with np.linspace(0.1, 1.0, 8)",Pass w/ Edit
4,Document Vector Encoding,Encode documents into vectors using Word2Vec for semantic search,get_doc_vector() with mean pooling of word vectors,OOV documents returned zero vectors — could cause misleading similarity,⚠️ Pass w/ Edit,Added zero vector guard: filtered out zero vectors before similarity search,Pass w/ Edit
4,t-SNE Parameter (n_iter → max_iter),Visualize document embedding space with t-SNE 2D projection,"TSNE(n_components=2, perplexity=30, n_iter=1000)",TypeError: TSNE got unexpected keyword argument 'n_iter' (sklearn >= 1.2 renamed it),❌ Fail → Fixed,Changed n_iter=1000 to max_iter=1000,Fail → Fixed
4,Sentiment Distribution Chart — Language,Add subtitle explaining the sentiment distribution chart,Thai subtitle: 'Query บวก ควรดึง Positive reviews มากกว่า...',Notebook should be in English for academic submission,❌ Fail → Fixed,"Changed to English: 'Positive queries should retrieve more Positive reviews, and vice versa'",Fail → Fixed
4,Feature Ablation Study,Compare model performance across different feature engineering approaches,Bar chart comparing TF-IDF unigram vs bigram vs Word2Vec vs LSTM,Correct structure — verified feature configs match actual trained models,✅ Pass,—,Pass
